Problem Type,Is,n,Vt,R,Vs,Taylor Result,Picard_1,Picard_2,Picard_3,Circuit Current
diode,1.0000000000e-12,1.5000000000,0.0258500000,0.0000000000,0.0000000000,8.0510250502e-02,1.0000000000e-03,1.0000000000e-03,1.0000000000e-03,1.0000000000e-03
diode,2.0000000000e-12,1.2000000000,0.0258500000,0.0000000000,0.0000000000,3.2166711269e-02,2.0000000000e-03,2.0000000000e-03,2.0000000000e-03,2.0000000000e-03
diode,5.0000000000e-13,1.7000000000,0.0258500000,0.0000000000,0.0000000000,1.8293718354e-01,5.0000000000e-04,5.0000000000e-04,5.0000000000e-04,5.0000000000e-04
diode,1.0000000000e-13,1.0000000000,0.0258500000,0.0000000000,0.0000000000,5.4262029816e-01,1.0000000000e-04,1.0000000000e-04,1.0000000000e-04,1.0000000000e-04
diode,3.0000000000e-12,2.0000000000,0.0258500000,0.0000000000,0.0000000000,3.5743867577e-02,3.0000000000e-03,3.0000000000e-03,3.0000000000e-03,3.0000000000e-03
diode,8.0000000000e-13,1.3000000000,0.0258500000,0.0000000000,0.0000000000,8.7233502168e-02,8.0000000000e-04,8.0000000000e-04,8.0000000000e-04,8.0000000000e-04
diode,1.5000000000e-12,1.8000000000,0.0258500000,0.0000000000,0.0000000000,6.4383274447e-02,1.5000000000e-03,1.5000000000e-03,1.5000000000e-03,1.5000000000e-03
diode,4.0000000000e-13,1.1000000000,0.0258500000,0.0000000000,0.0000000000,1.4784013417e-01,4.0000000000e-04,4.0000000000e-04,4.0000000000e-04,4.0000000000e-04
diode,6.0000000000e-12,1.6000000000,0.0258500000,0.0000000000,0.0000000000,1.4012978270e-02,4.0000000000e-03,4.0000000000e-03,4.0000000000e-03,4.0000000000e-03
diode,2.5000000000e-13,1.4000000000,0.0258500000,0.0000000000,0.0000000000,3.0216132386e-01,2.5000000000e-04,2.5000000000e-04,2.5000000000e-04,2.5000000000e-04
diode,1.0000000000e-11,1.9000000000,0.0258500000,0.0000000000,0.0000000000,9.8426246110e-03,5.0000000000e-03,5.0000000000e-03,5.0000000000e-03,5.0000000000e-03
diode,7.0000000000e-13,1.2000000000,0.0258500000,0.0000000000,0.0000000000,9.2037149507e-02,7.0000000000e-04,7.0000000000e-04,7.0000000000e-04,7.0000000000e-04
diode-resistor,1.0000000000e-12,1.5000000000,0.0258500000,1000.0000000000,5.0000000000,8.0510250502e-02,1.0000000000e-03,4.1964553671e-03,4.1408427031e-03,4.1413599961e-03
diode-resistor,2.0000000000e-12,1.2000000000,0.0258500000,500.0000000000,3.0000000000,3.2166711269e-02,2.0000000000e-03,4.7143285874e-03,4.6611318109e-03,4.6618358538e-03
diode-resistor,5.0000000000e-13,1.7000000000,0.0258500000,2000.0000000000,10.0000000000,1.8293718354e-01,5.0000000000e-04,4.5446580414e-03,4.4961625440e-03,4.4963982698e-03
